,library size
1014,9.70131
1015,9.657459
1016,10.15413
1017,10.169077
1018,10.178464
1019,9.170872
1020,8.951959
1021,10.031177
1022,9.235326
1023,9.2583685
1024,8.960596
1025,7.799753
1026,9.783521
1027,9.220884
1028,9.240676
1029,10.570855
1030,9.118993
1031,9.375092
1032,10.79405
1033,10.4052925
1034,9.300364
1035,9.435641
1036,8.611958
1037,8.062433
1038,9.835851
1039,10.406472
1040,10.293534
1041,9.109082
1042,9.833387
1043,8.8453455
1044,10.175384
1045,9.884305
1046,9.332293
1047,9.148465
1048,9.141419
1049,8.925188
1050,9.016149
1051,8.923858
1052,9.51731
1053,9.312897
1054,9.887307
1055,10.018511
1056,8.784469
1057,9.869103
1058,10.307685
1059,8.650149
1060,9.017119
1061,8.944681
1062,10.0016575
1063,10.148314
1064,9.252729
1065,9.879502
1066,9.381011
1067,9.017363
1068,10.553649
1069,8.8934355
1070,9.670483
1071,8.84376
1072,10.199324
1073,9.995702
1074,10.547471
1075,9.494466
1076,9.931297
1077,9.166597
1078,9.8218975
1079,8.916103
1080,8.84851
1081,9.073718
1082,7.7748556
1083,9.638741
1084,9.500095
1085,9.059169
1086,10.10197
1087,10.384956
1088,9.102756
1089,8.892061
1090,11.049667
1091,9.060563
1092,10.242563
1093,8.030084
1094,9.005774
1095,10.610833
1096,10.337184
1097,10.2251
1098,9.427788
1099,9.429154
1100,9.38421
1101,9.624501
1102,8.89563
1103,9.312265
1104,9.698184
1105,9.085117
1106,10.499049
1107,9.695294
1108,10.566536
1109,9.885935
1110,9.130431
1111,10.520671
1112,9.62892
1113,9.462499
1114,9.145482
1115,10.1046715
1116,10.2261505
1117,9.94415
1118,10.511948
1119,10.799045
1120,9.682093
1121,9.424322
1122,9.553291
1123,9.999888
1124,9.357812
1125,9.895052
1126,10.247574
1127,10.079497
1128,9.85781
1129,9.681656
1130,10.251888
1131,10.004915
1132,10.18539
1133,9.279306
1134,10.574338
1135,9.741792
1136,10.106102
1137,9.823145
1138,9.45501
1139,9.3833685
1140,9.076467
1141,9.41001
1142,10.340581
1143,10.450481
1144,10.329572
1145,9.910214
1146,10.045855
1147,10.003424
1148,9.45038
1149,10.384771
1150,10.134202
1151,10.20474
1152,9.508666
1153,9.921278
1154,9.631941
1155,7.883446
1156,8.914223
1157,7.988882
1158,8.142645
1159,8.266165
1160,9.426742
1161,9.908724
1162,8.465268
1163,9.017484
1164,8.537388
1165,9.846017
1166,8.661986
1167,8.639411
1168,7.9575276
1169,8.538955
1170,9.3670025
1171,9.184817
1172,10.207768
1173,7.8355794
1174,8.228444
1175,9.538204
1176,9.729194
1177,8.12829
1178,8.683046
1179,9.710874
1180,8.210939
1181,9.195836
1182,8.403129
1183,8.297295
1184,9.819562
1185,9.204322
1186,9.533365
1187,8.912474
1188,7.77191
1189,8.285009
1190,9.842037
1191,8.237743
1192,9.249081
1193,8.091015
1194,9.718362
1195,9.493939
1196,8.698347
1197,8.483843
1198,8.418257
1199,7.67601
1200,9.911258
1201,9.638676
1202,9.213535
1203,7.910224
1204,8.759668
