,peak mean
886,0.02959396
887,0.06757636
888,0.0077380193
889,0.08959734
890,0.07529097
891,0.21826392
892,0.2602506
893,0.18266684
894,0.023542518
895,0.016945222
896,0.03860312
897,0.0051653264
898,0.04802541
899,0.008765199
900,0.07095879
901,0.03059906
902,0.0108165145
903,0.582363
904,0.09761446
905,0.019995546
906,0.05245776
907,0.13946925
908,0.27844733
909,0.076730914
910,0.078647465
911,0.20527396
912,0.6957334
913,0.11253318
914,0.0031023729
915,0.008765199
916,0.04059408
917,0.049505007
918,0.042084817
919,0.0072239153
920,0.0061951503
921,0.06175112
922,0.008251741
923,0.008251741
924,0.012352158
925,0.011840538
926,0.008251741
927,0.034108683
928,0.1951001
929,0.062237833
930,0.019487824
931,0.08437538
932,0.013374727
933,0.062724315
934,0.021517284
935,0.035609115
936,0.0061951503
937,0.021010218
938,0.0077380193
939,0.0051653264
940,0.022023978
941,0.027076954
942,0.19254038
943,0.14261751
944,0.11668921
945,0.07384896
946,0.058337227
947,0.0041343225
948,0.07384896
949,0.01796299
950,0.056381315
951,0.011840538
952,0.11114392
953,0.03160303
954,0.036608074
955,0.009791323
956,0.5553896
957,0.08056045
958,0.060289435
959,0.004650017
960,0.01490645
961,0.020503009
962,0.103235066
963,0.014396137
964,0.07625109
965,0.051474508
966,0.0504903
967,0.0077380193
968,0.25022057
969,0.06660788
970,0.03610872
971,0.0051653264
972,0.006709666
973,0.03710718
974,0.041091196
975,0.37692377
976,0.055401925
977,0.2831402
978,0.03160303
979,0.026068423
980,0.034108683
981,0.014396137
982,0.1064992
983,0.11668921
984,0.07577115
985,0.07192319
986,0.33817184
987,0.08817593
988,0.051966257
989,0.0072239153
990,0.06369657
991,0.13901871
992,0.04307733
993,0.0108165145
994,0.01490645
995,0.013885563
996,0.0072239153
997,0.012863516
998,0.015416503
999,0.006709666
1000,0.008251741
1001,0.03360808
1002,0.0061951503
1003,0.08151553
1004,0.21909618
1005,0.023036595
1006,0.2065384
1007,0.09667454
1008,0.6111606
1009,0.33075893
1010,0.024553716
1011,0.006709666
1012,0.005680371
1013,0.03059906
1014,0.0504903
1015,0.015926413
1016,0.008251741
1017,0.021010218
1018,0.0051653264
1019,0.049505007
1020,0.09384969
1021,0.0041343225
1022,0.009791323
1023,0.011840538
1024,0.63202065
1025,0.056381315
1026,0.013374727
1027,0.009791323
1028,0.5972931
1029,0.3195355
1030,0.16394223
1031,0.08864996
1032,0.29824197
1033,0.22448926
1034,0.004650017
1035,0.012863516
1036,0.037606034
1037,0.35137808
1038,0.03860312
1039,0.1457558
1040,0.024048187
1041,0.01796299
1042,0.009278392
1043,0.028084585
1044,0.029091086
1045,0.009791323
1046,0.44589305
1047,0.2947773
1048,0.02959396
1049,0.047531728
1050,0.31274062
1051,0.04059408
1052,0.102300525
1053,0.018979844
1054,0.017454235
1055,0.014396137
1056,0.009791323
1057,0.02959396
1058,0.0061951503
1059,0.012863516
1060,0.005680371
1061,0.028587965
1062,0.01490645
1063,0.058337227
1064,0.008251741
1065,0.018471487
1066,0.0061951503
1067,0.019487824
1068,0.3326173
1069,0.26542678
1070,0.006709666
1071,0.0072239153
1072,0.0072239153
1073,0.013374727
1074,0.051966257
1075,0.42883852
1076,0.020503009
1077,0.09902252
1078,0.005680371
1079,0.07529097
1080,0.060776863
1081,0.011328658
1082,0.104168735
1083,0.2940056
1084,1.2353724
1085,0.08342305
1086,0.29824206
1087,0.24334213
1088,0.1272326
1089,0.042581197
1090,0.12723249
1091,0.011840538
1092,0.9120341
1093,0.0051653264
1094,0.037606034
1095,0.009278392
1096,0.0077380193
1097,0.10463524
1098,0.011328658
1099,0.1295099
1100,0.008765199
1101,0.006709666
1102,0.005680371
1103,0.026572816
1104,0.0061951503
1105,0.012352158
1106,0.005680371
1107,0.0072239153
1108,0.033107225
1109,0.021517284
1110,0.61648613
1111,0.008251741
1112,0.0077380193
1113,0.08485122
1114,0.004650017
1115,0.008251741
1116,0.042581197
1117,0.012352158
1118,0.08008257
1119,0.034108683
1120,0.13811705
1121,0.78982073
1122,0.071441166
1123,0.28430998
1124,0.09432103
1125,0.35537902
1126,0.026068423
1127,0.37229472
1128,0.30437225
1129,0.041091196
1130,0.07960447
1131,0.10276791
1132,0.026572816
1133,0.0810381
1134,0.26939034
1135,0.04851885
1136,0.005680371
1137,0.04851885
1138,0.0077380193
1139,0.009791323
1140,0.012863516
1141,0.08342305
1142,0.010304109
1143,0.0051653264
1144,0.014396137
1145,0.056870658
1146,0.047037683
1147,0.019487824
1148,0.0810381
1149,0.14261742
1150,0.26224455
1151,0.0041343225
1152,0.011840538
1153,0.06951063
1154,0.01796299
1155,0.0031023729
1156,0.023036595
1157,0.20990264
1158,0.005680371
1159,0.014396137
1160,0.069027334
1161,0.014396137
1162,0.05784861
1163,0.0041343225
1164,0.014396137
1165,0.009278392
1166,0.026068423
1167,0.06806025
1168,0.20189409
1169,0.087227196
1170,0.021517284
1171,0.04654351
1172,0.022530414
1173,0.16964023
1174,0.028587965
1175,0.064182445
1176,0.0041343225
1177,0.024048187
1178,0.09384969
1179,0.07912602
1180,0.060776863
1181,0.09101682
1182,0.029091086
1183,0.10089697
1184,0.3414899
1185,0.010304109
1186,0.012863516
1187,0.021010218
1188,0.0077380193
1189,0.049997833
1190,0.6262238
1191,0.09526317
1192,0.0051653264
1193,0.024553716
1194,0.018471487
