,nozero
803,7.06732
804,7.09091
805,7.103322
806,8.109526
807,6.997596
808,6.9865665
809,7.0509896
810,7.4442487
811,7.4133673
812,7.248504
813,7.1966867
814,7.1188264
815,8.947286
816,7.9483852
817,7.7030077
818,7.484369
819,6.98749
820,8.541301
821,7.1123276
822,7.6875386
823,8.274612
824,7.0148144
825,8.291296
826,8.318499
827,8.247482
828,8.400884
829,8.977652
830,9.077266
831,8.909101
832,9.170039
833,8.5961895
834,8.163656
835,8.8921995
836,8.590258
837,8.279444
838,7.5786567
839,9.277625
840,8.609773
841,7.994295
842,7.5522375
843,8.122074
844,8.326033
845,8.208764
846,8.797398
847,8.696009
848,8.313117
849,9.191361
850,8.679992
851,8.877242
852,8.752108
853,8.45808
854,8.583168
855,7.7257714
856,8.111928
857,8.503095
858,8.9879465
859,8.890273
860,8.768263
861,8.230044
862,8.546557
863,8.821585
864,8.920122
865,8.79255
866,8.672144
867,8.981304
868,8.639765
869,8.573952
870,7.771067
871,8.329175
872,9.062768
873,8.160233
874,8.244334
875,8.950403
876,8.286269
877,8.954544
878,9.266532
879,7.8950634
880,8.621193
881,8.110427
882,8.589328
883,8.598589
884,8.709135
885,8.414274
886,8.658172
887,8.980676
888,8.252446
889,7.8001633
890,9.350711
891,7.7630215
892,8.600983
893,8.3163
894,7.034388
895,7.584773
896,7.4838066
897,8.840146
898,8.8978195
899,8.603188
900,9.67853
901,7.7270947
902,9.077152
903,7.719574
904,9.544953
905,7.9837813
906,8.9981365
907,8.229244
908,8.85723
909,9.11052
910,8.782936
911,9.407222
912,9.319553
913,8.220403
914,8.884056
915,8.467162
916,7.6774006
917,8.988071
918,9.395325
919,8.112228
920,9.583214
921,7.963808
922,8.178358
923,8.8934355
924,8.906393
925,9.023167
926,8.785387
927,9.139488
928,8.250881
929,9.491527
930,8.840725
931,9.591786
932,8.15966
933,8.892749
934,9.489562
935,9.002701
936,8.363809
937,9.045938
938,8.926119
939,8.074338
940,8.675052
941,9.350016
942,9.590966
943,8.515992
944,7.9686656
945,9.631482
946,9.029058
947,9.406976
948,9.346182
949,8.696677
950,9.528139
951,9.069928
952,8.71029
953,7.49276
954,8.628914
955,6.916715
956,8.366836
957,8.335431
958,7.4330754
959,7.12206
960,8.97259
